Altura,Peso
186,73.6
168,53.2
184,74.2
195,82.8
169,56.7
176,70.4
160,48.5
165,65.7
177,66.9
181,71.7
185,75.1
161,54.2
184,62.9
181,76.1
179,63.4
169,65.8
171,56.3
194,88.8
175,75.0
189,73.4
184,72.2
188,81.7
187,76.0
178,72.9
179,70.4
164,57.2
170,60.1
185,70.1
179,66.4
170,69.0
164,61.6
172,58.1
165,55.7
181,61.9
180,78.8
186,75.0
183,67.9
184,81.4
187,72.7
171,70.7
188,66.6
195,92.2
168,69.1
173,65.9
173,63.1
186,84.0
162,55.7
174,64.7
181,71.9
174,65.3
162,52.3
186,78.5
164,61.2
177,68.7
183,78.9
161,63.1
184,68.7
175,72.5
180,79.4
190,71.2
163,58.8
179,75.8
162,49.3
174,58.9
183,77.4
192,81.8
168,53.4
172,68.9
170,68.1
180,65.3
175,69.4
174,56.3
165,58.3
161,51.3
193,76.7
185,79.9
191,75.8
177,71.4
170,57.3
193,81.3
168,57.3
176,58.8
174,62.2
192,90.4
170,69.0
166,57.1
179,78.9
177,63.8
189,69.2
174,58.4
174,61.3
188,75.0
184,84.3
176,71.4
174,57.0
179,70.5
180,64.5
165,55.4
161,55.2
192,91.2
188,84.1
180,60.0
165,50.6
182,61.8
169,62.3
183,72.8
195,71.7
165,52.4
179,76.9
175,57.5
189,67.6
179,69.1
176,73.6
181,62.3
192,76.9
181,79.2
188,72.8
188,76.4
176,60.3
160,62.0
180,74.6
187,74.4
177,63.8
164,64.7
191,82.2
165,65.0
160,56.1
169,61.2
178,70.8
179,65.3
165,59.5
181,67.0
165,50.8
161,59.7
167,65.4
171,62.4
172,73.1
171,61.2
180,74.3
190,78.7
189,82.9
171,66.4
183,75.1
169,53.0
176,64.7
167,57.0
161,62.3
176,58.2
170,56.8
165,61.1
167,52.4
160,62.7
175,59.7
189,72.5
188,83.6
175,72.7
189,69.0
175,73.7
188,78.7
180,72.9
180,60.6
175,59.8
176,64.3
176,61.1
174,66.2
162,52.3
195,93.2
193,76.5
189,83.1
170,53.5
183,81.0
195,80.1
185,76.0
168,67.1
168,53.9
166,66.5
183,83.4
168,66.6
171,63.6
160,55.7
169,65.8
165,59.2
194,79.9
190,75.3
184,70.1
188,80.5
190,86.6
176,61.1
184,63.9
177,64.8
173,73.2
184,67.9
168,59.9
176,71.7
170,65.6
188,79.0
186,64.9
172,63.4
188,88.0
194,75.4
170,64.2
182,69.0
187,80.4
164,63.7
166,68.0
194,80.7
173,61.0
178,73.8
160,62.9
176,71.5
173,65.5
181,74.3
179,75.3
194,86.0
166,58.3
176,72.2
165,60.4
166,65.2
164,61.1
180,65.4
184,84.3
163,51.3
163,61.1
189,66.1
177,59.0
174,59.3
163,52.0
193,87.7
172,63.6
162,53.3
169,54.0
160,63.2
182,79.6
163,51.3
171,57.4
190,85.3
181,80.2
195,89.4
195,77.4
187,81.5
191,90.3
187,86.5
168,65.1
168,67.0
188,81.1
190,76.9
195,80.5
189,72.7
173,66.3
174,70.0
193,81.6
171,62.2
184,79.0
175,73.7
191,78.5
191,90.0
179,67.3
190,85.9
164,54.0
166,53.9
161,53.6
191,70.1
162,65.2
187,70.2
187,84.4
171,57.1
177,75.0
194,88.5
183,69.9
192,72.9
173,65.2
166,52.2
189,71.1
167,55.2
165,55.4
167,56.3
181,80.8
176,63.3
168,55.9
192,85.3
160,49.4
194,73.7
186,80.9
183,79.2
171,60.8
178,70.0
168,68.2
195,90.8
166,55.9
183,67.1
194,81.2
177,69.8
175,59.1
195,89.6
189,70.2
188,74.7
186,72.5
176,72.9
173,61.0
188,85.2
192,88.5
160,53.3
177,69.5
192,76.9
185,70.1
169,54.7
194,78.8
176,70.2
163,52.1
192,83.0
169,68.1
170,62.1
184,62.8
193,71.6
179,59.3
167,54.4
166,63.3
190,74.7
176,72.9
185,80.6
172,72.6
168,55.7
185,73.7
172,59.5
193,83.3
176,65.0
185,73.4
172,56.1
162,54.9
181,69.6
167,56.8
161,64.3
174,61.7
162,65.2
164,58.2
160,49.9
170,64.8
192,78.3
181,68.2
177,73.0
165,64.1
194,82.3
195,73.8
193,87.7
172,64.5
194,80.1
192,68.5
192,69.3
164,55.4
161,63.3
166,59.1
164,62.4
166,52.1
183,74.2
194,77.6
165,54.4
165,62.5
189,87.3
190,84.8
174,62.2
178,68.4
162,58.6
186,71.2
166,62.1
171,65.8
160,60.5
181,67.2
161,56.0
185,69.3
178,60.2
194,76.8
176,65.1
169,55.9
166,56.0
180,64.3
182,62.4
188,66.0
191,76.3
161,60.8
190,76.0
176,73.9
191,78.5
171,66.1
191,76.9
164,51.5
168,66.4
177,63.6
161,59.8
178,66.1
167,62.4
180,63.2
169,57.4
170,65.2
192,78.2
174,61.6
195,93.1
185,67.7
182,68.3
179,76.7
170,61.1
176,69.4
193,71.9
191,82.5
171,59.7
191,83.4
185,67.7
164,61.0
193,86.3
178,71.7
162,59.4
187,82.2
185,75.5
164,58.5
177,62.0
187,80.4
192,69.8
175,60.2
176,66.1
189,84.8
184,69.1
183,79.1
170,68.3
192,85.5
178,65.4
176,58.1
194,88.9
169,61.8
187,73.6
170,56.6
161,49.9
161,55.8
162,53.9
164,62.8
195,89.6
192,81.8
171,72.1
181,64.1
179,65.5
173,65.1
187,72.9
181,63.3
162,54.2
173,69.4
162,49.3
178,68.8
191,81.5
180,66.0
177,72.7
165,59.8
187,85.4
173,56.9
195,92.1
168,57.7
167,56.4
182,77.1
183,77.3
163,51.9
164,63.9
166,52.7
170,65.7
177,68.1
171,57.3
192,76.0
180,61.0
164,51.8
164,56.3
160,50.2
169,67.9
190,67.4
187,71.4
171,65.4
177,72.2
178,60.4
168,66.8
181,73.5
191,88.7
184,80.2
169,61.1
176,72.7
165,56.0
182,70.3
174,60.3
174,56.2
192,84.4
184,83.5
189,72.1
171,67.3
171,68.3
195,87.4
187,85.0
176,69.7
180,78.0
160,59.0
175,72.8
161,55.2
163,53.9
161,63.6
188,77.7
183,72.9
194,79.3
185,83.1
189,79.2
169,65.4
187,78.8
163,49.4
170,56.4
195,73.4
161,62.9
186,66.4
188,71.0
183,64.1
186,85.4
179,68.1
167,56.9
190,70.9
181,64.2
163,54.0
189,77.2
174,58.6
195,87.2
161,50.5
168,66.5
188,83.6
174,68.5
170,61.9
170,69.4
169,64.1
171,70.7
194,78.1
178,74.6
183,68.5
174,66.7
188,71.7
183,62.5
185,84.6
174,61.1
161,52.7
186,81.2
190,74.0
163,51.8
178,71.6
195,79.7
163,64.3
179,74.0
162,57.1
174,69.6
162,48.9
190,70.0
195,72.0
164,54.1
186,81.4
160,62.5
170,63.5
167,69.3
161,52.7
194,86.9
188,70.1
174,70.4
180,72.9
195,93.0
190,70.8
181,63.5
194,74.9
168,66.7
163,50.4
182,77.7
186,83.8
185,80.7
174,73.0
193,86.9
190,79.7
183,79.8
166,66.3
193,76.4
186,72.6
195,70.6
163,60.0
163,53.3
178,78.0
168,55.9
182,73.1
191,86.6
171,69.6
181,78.3
160,54.1
174,71.2
195,77.2
167,68.2
179,75.4
161,58.9
162,65.3
178,73.8
172,59.5
186,80.5
181,80.3
167,57.2
165,53.8
186,68.6
179,66.2
160,59.2
180,75.0
186,75.1
181,76.6
167,59.4
181,79.4
176,73.4
165,51.3
174,74.5
185,77.4
186,82.8
165,64.0
169,65.5
161,57.3
195,77.0
172,63.1
177,70.7
191,72.3
188,87.3
166,66.6
183,71.6
178,73.6
187,82.1
186,83.9
163,61.5
193,79.2
182,63.3
164,59.7
191,76.5
194,92.0
172,57.0
188,84.1
175,61.2
190,89.6
165,60.2
163,50.5
164,59.0
177,58.2
183,62.0
192,81.0
180,79.9
169,68.3
179,60.8
184,75.2
185,79.1
169,68.6
184,77.4
186,72.4
184,81.8
183,62.1
190,87.1
191,81.5
190,83.6
195,83.8
164,50.9
179,70.0
176,74.4
161,48.2
160,49.6
178,69.1
163,64.0
193,85.8
173,61.9
173,68.9
174,72.2
194,82.1
193,70.9
191,76.4
193,73.7
181,80.3
189,88.0
166,63.8
166,65.5
164,49.9
166,62.7
191,69.0
170,57.7
179,69.2
176,75.1
184,69.6
186,74.2
178,65.3
172,69.3
194,93.4
186,69.3
180,72.7
162,57.6
174,59.9
180,72.6
178,61.4
175,59.4
168,67.0
176,74.8
180,75.7
180,61.4
189,88.5
175,60.0
180,78.6
180,73.5
161,57.2
190,68.2
179,79.1
195,86.5
174,73.4
162,63.7
166,62.9
180,72.4
190,78.9
179,63.8
165,56.3
166,54.9
186,68.5
181,60.7
172,71.3
163,61.6
174,68.3
166,62.8
160,58.3
186,67.8
194,83.7
178,60.4
185,76.0
188,68.7
178,72.8
169,61.5
184,76.7
175,63.4
169,67.1
167,57.5
176,62.2
169,68.5
163,62.0
182,72.2
172,60.5
166,53.4
188,79.3
171,63.3
180,69.8
173,72.8
185,71.3
161,63.9
195,70.8
176,63.4
195,93.6
166,57.8
192,77.8
181,70.0
161,50.7
172,62.1
186,71.4
183,83.4
162,53.6
176,62.0
194,87.9
195,84.3
194,81.7
163,53.3
178,70.9
184,68.8
170,70.3
192,90.2
178,70.1
172,55.4
188,78.4
177,68.7
193,75.4
180,77.4
171,72.4
172,70.1
187,84.6
179,74.3
167,59.5
186,84.2
194,81.7
178,59.6
178,75.4
181,66.0
193,74.3
172,55.6
184,83.9
175,66.5
176,67.5
191,86.2
188,75.2
168,56.0
187,65.2
187,86.1
195,84.0
179,72.7
194,87.4
166,63.7
190,73.1
190,89.5
162,49.0
163,64.3
178,59.5
165,66.4
181,74.4
175,72.6
170,59.2
173,67.5
184,73.8
195,90.2
187,68.2
171,58.5
170,66.9
163,52.9
189,77.1
189,67.1
171,70.1
163,50.8
182,82.2
181,64.9
168,62.2
162,63.9
167,53.5
160,61.7
169,66.9
167,54.5
185,74.8
169,66.6
168,56.3
194,85.7
194,93.1
185,77.9
190,67.6
161,52.7
175,69.3
160,56.9
161,61.6
192,90.5
168,58.0
194,91.1
189,72.2
168,67.6
162,50.7
163,56.1
194,74.3
173,64.7
173,57.6
172,68.4
176,57.3
160,62.8
176,61.4
165,57.8
161,64.5
167,61.5
194,78.1
179,61.7
185,70.4
173,72.6
194,83.8
170,54.2
164,53.9
171,63.7
178,66.3
180,74.8
168,59.2
185,78.2
185,69.0
164,54.6
162,56.1
170,70.4
166,56.2
182,66.2
168,56.1
168,66.1
172,63.6
185,75.4
161,59.1
171,64.7
175,73.4
174,62.9
170,63.9
192,83.2
175,70.8
168,53.7
171,60.9
171,54.5
168,62.5
192,84.0
184,79.7
171,56.4
176,58.7
195,86.3
161,52.0
183,82.3
165,54.4
189,68.0
178,77.7
169,57.1
182,67.3
166,53.2
185,71.6
185,71.1
167,64.5
184,83.8
193,80.3
173,69.6
171,66.7
183,80.1
167,52.3
179,79.2
185,73.6
166,57.0
160,51.5
170,65.9
165,64.5
163,52.5
164,63.6
185,73.0
184,71.1
193,79.1
169,62.9
189,68.6
182,65.5
161,54.9
165,67.2
193,84.6
160,56.4
191,72.9
172,73.5
185,68.0
160,50.0
189,86.4
175,59.6
184,64.5
195,72.9
170,66.7
171,68.2
172,72.5
193,75.0
194,76.7
192,74.0
175,73.8
175,63.4
195,81.6
163,50.6
166,64.6
188,67.5
186,79.0
188,71.3
168,67.9
163,56.5
185,79.4
173,70.6
191,86.7
175,74.0
162,49.2
163,65.2
162,52.4
172,65.5
168,60.1
160,60.3
185,71.9
195,85.3
176,67.0
188,86.3
169,55.2
192,72.1
187,77.1
181,73.0
167,63.8
180,63.9
181,78.0
164,55.9
166,52.5
184,81.5
193,77.5
178,61.6
181,66.5
173,65.1
195,85.4
162,62.3
165,64.7
172,62.5
191,68.9
161,57.8
180,62.0
192,84.7
184,63.6
163,55.5
166,53.6
184,79.2
170,69.9
185,63.9
195,78.9
192,71.1
182,77.9
191,74.9
191,82.8
177,69.7
181,61.5
192,90.0
162,61.1
192,83.5
191,69.9
173,70.6
164,65.4
185,75.6
182,72.5
167,61.8
179,73.6
164,54.2
161,62.2
188,66.0
194,85.1
189,82.8
195,74.0
184,70.7
195,73.2
182,62.0
193,91.1
195,80.0
165,62.2
170,57.2
161,51.6
173,71.9
178,58.9
183,70.0
162,52.4
190,72.5
162,64.2
176,60.1
173,56.9
182,65.6
180,61.2
172,64.4
171,56.8
161,57.0
180,76.6
166,62.7
193,84.5
182,66.1
190,75.3
172,56.7
183,73.1
167,56.9
178,69.7
172,69.7
195,86.4
192,68.5
170,67.5
193,69.4
166,56.2
175,71.3
168,55.5
165,58.4
178,63.6
194,93.4
175,69.1
193,92.0
176,74.5
182,66.5
165,64.1
165,52.3
173,74.4
162,59.7
160,55.5
163,52.4
174,62.6
161,56.8
174,72.8
165,52.9
161,56.7
182,75.1
181,81.2
160,53.1
182,82.2
189,84.0
181,80.0
179,59.8
161,64.1
180,64.9
190,82.1
175,74.8
164,57.4
182,72.2
183,78.1
191,81.8
180,77.1
188,71.8
178,77.9
172,62.5
174,63.4
185,73.4
168,69.1
167,52.6
177,73.7
188,71.7
191,69.5
162,64.3
187,84.8
166,67.1
173,57.7
168,54.5
185,69.3
173,62.8
167,66.6
167,53.6
185,79.5
169,63.3
164,57.3
188,75.1
184,77.0
177,59.1
162,60.2
192,69.0
164,61.2
167,57.4
173,57.6
161,61.7
190,80.0
188,69.5
165,60.3
191,84.2
195,77.4
182,77.6
164,66.9
184,82.1
189,74.0
194,75.9
164,50.1
163,57.5
166,68.1
186,72.7
194,70.7
167,65.1
160,57.5
162,55.1
188,86.5
182,69.0
161,49.1
166,53.3
192,79.0
166,66.0
191,76.7
165,67.0
195,70.7
184,70.7
184,65.6
167,65.3
191,86.4
160,57.8
169,66.5
175,60.6
173,69.5
182,75.6
167,58.2
185,68.1
177,76.7
189,80.0
178,62.6
189,86.2
189,68.3
175,63.1
172,60.3
177,74.9
160,54.7
179,60.1
190,83.2
191,80.5
187,81.4
185,79.9
165,56.0
189,82.1
192,79.5
164,52.6
169,69.6
170,56.1
188,79.0
184,81.4
192,82.9
179,71.6
184,67.3
178,72.2
176,59.9
166,65.0
180,63.8
161,48.9
194,78.2
189,67.1
160,63.5
185,76.5
169,60.5
161,49.2
195,94.3
190,85.6
185,80.7
190,74.3
167,55.3
174,62.0
178,62.4
195,76.2
183,63.6
164,64.5
163,57.6
170,61.8
179,73.2
180,78.7
185,70.1
163,64.1
190,84.6
186,66.3
179,79.3
184,77.4
166,51.1
172,59.6
162,50.8
174,65.8
172,67.5
195,89.7
187,82.9
191,88.6
162,50.5
166,51.6
180,79.0
194,89.8
180,68.1
190,82.2
185,84.2
192,81.7
179,70.2
178,76.5
183,76.9
170,66.7
171,64.4
177,66.9
166,68.6
184,83.8
162,56.0
171,64.9
172,61.8
186,84.7
180,62.9
180,67.4
190,89.5
170,66.3
180,60.8
191,71.5
175,67.0
195,72.6
185,75.0
194,76.8
194,70.4
160,50.4
174,59.0
165,58.6
181,71.2
184,84.2
164,60.4
179,68.3
161,48.7
172,56.7
167,68.8
171,54.3
195,85.0
190,73.9
170,59.7
179,74.5
194,77.7
175,61.0
173,63.0
170,69.5
187,84.7
160,57.5
166,55.3
160,53.8
169,66.4
188,73.3
183,73.0
167,53.3
183,81.5
184,84.0
167,52.1
171,56.5
162,61.0
193,86.5
195,85.4
172,58.6
187,66.1
174,70.2
181,75.0
162,51.4
185,80.8
160,47.8
195,76.4
182,77.5
192,73.8
176,66.9
180,64.8
191,79.5
175,73.6
187,67.9
165,64.0
185,65.0
170,66.8
194,71.1
186,75.5
193,90.6
181,74.6
178,75.8
175,67.4
175,64.0
171,57.6
178,72.7
173,61.2
189,78.0
193,71.8
187,81.4
190,85.2
191,72.7
182,61.7
169,53.7
164,57.6
188,75.9
189,81.7
192,81.1
171,64.5
164,59.4
177,76.5
194,86.2
171,59.3
166,67.9
168,59.3
170,60.9
162,62.2
187,69.8
194,81.3
186,76.2
172,58.0
186,72.7
186,69.3
165,52.7
185,69.6
161,50.5
170,65.5
167,54.5
184,76.6
182,75.9
194,73.0
180,63.4
177,66.9
181,66.4
172,68.3
193,89.5
190,74.0
161,63.3
175,69.9
172,70.8
164,55.7
160,58.8
193,72.1
185,65.1
185,63.7
186,69.7
176,66.2
193,69.2
180,75.7
162,58.7
185,73.3
178,77.2
186,68.3
173,70.4
174,59.3
183,77.8
176,77.0
190,79.5
193,73.3
